Strain i,Strain j,replicate,p(i),p(i)',Ti(c),Tj(c),TG(ij),r(i),r(j),I(i),I(j),IG(ij)
NC63.2,NC52.3,W11xW6R1,0.1,0.221,8550000,7320000,7000000,2.2095,0.8656,0.5528,1.2081,1.0633
NC63.2,NC52.3,W11xW6R2,0.1,0.1091,6480000,8120000,9700000,1.0909,0.9899,0.6124,0.8457,0.8202
NC63.2,NC52.3,W11xW6R3,0.1,0.1083,7000000,7550000,9650000,1.0833,0.9907,0.6696,0.7897,0.7767
NC63.2,NC52.3,W11xW6R4,0.1,0.1292,4210000,8750000,10700000,1.2923,0.9675,0.3045,0.8452,0.7753
NC63.2,NC60.1,W11xW9R1,0.1,0.1898,8550000,7390000,8750000,1.8983,0.9002,0.5147,0.9382,0.8578
NC63.2,NC60.1,W11xW9R2,0.1,0.1262,4210000,9530000,9200000,1.2615,0.9709,0.3627,1.0669,0.978
NC28.1,NC63.2,W1xW11R1,0.1,0.137,9290000,8125000,6800000,1.3549,0.9606,0.9972,1.2461,1.212
NC28.1,NC63.2,W1xW11R10,0.1,0.3154,8550000,8551000,11500000,3.1535,0.7607,0.2358,0.9775,0.7436
NC28.1,NC63.2,W1xW11R11,0.1,0.1969,9600000,4210000,5150000,1.9692,0.8923,0.9466,0.9161,0.9221
NC28.1,NC63.2,W1xW11R12,0.1,0.159,6160000,7040000,7580000,1.59,0.9344,0.5111,0.9939,0.9172
NC28.1,NC63.2,W1xW11R13,0.1,0.157,6890000,7580000,7540000,1.57,0.9367,0.582,1.0733,0.9962
NC28.1,NC63.2,W1xW11R14,0.1,0.159,5540000,5920000,6300000,1.59,0.9344,0.5531,1.0056,0.9337
NC28.1,NC63.2,W1xW11R15,0.1,0.171,6010000,6500000,7010000,1.71,0.9211,0.5014,1.0067,0.9203
NC28.1,NC63.2,W1xW11R16,0.1,0.148,7240000,7660000,7840000,1.48,0.9467,0.624,1.0321,0.9717
NC28.1,NC63.2,W1xW11R17,0.1,0.154,6650000,7500000,7810000,1.54,0.94,0.5529,1.0216,0.9494
NC28.1,NC63.2,W1xW11R18,0.1,0.165,7910000,8430000,8810000,1.65,0.9278,0.5441,1.0314,0.951
NC28.1,NC63.2,W1xW11R2,0.1,0.136,9290000,8125000,7200000,1.1432,0.9841,0.9487,1.1755,1.1447
NC28.1,NC63.2,W1xW11R3,0.1,0.13,9680000,8941667,11100000,1.2854,0.9683,0.6708,0.8333,0.8122
NC28.1,NC63.2,W1xW11R4,0.1,0.105,9680000,8941667,11600000,0.9533,1.0052,0.7947,0.7751,0.7772
NC28.1,NC63.2,W1xW11R5,0.1,0.172,5320000,2980000,3100000,1.7175,0.9203,0.9977,1.0449,1.0368
NC28.1,NC63.2,W1xW11R6,0.1,0.199,5320000,2980000,2450000,1.925,0.8972,1.0912,1.3667,1.3118
NC28.1,NC63.2,W1xW11R7,0.1,0.1743,6125000,1150000,1850000,1.7431,0.9174,1.8994,0.6776,0.8905
NC28.1,NC63.2,W1xW11R8,0.1,0.1878,9900000,4925000,5950000,1.8782,0.9024,0.8859,0.9172,0.9113
NC28.1,NC63.2,W1xW11R9,0.1,0.2168,12200000,3943750,4600000,2.1677,0.8703,1.2235,0.9852,1.0368
NC28.1,NC69.1,W1xW13R1,0.1,0.155,6130000,8300000,7500000,1.55,0.9389,0.5273,1.1787,1.0777
NC28.1,NC69.1,W1xW13R2,0.1,0.2873,9900000,6900000,6400000,2.8731,0.7919,0.5384,1.3615,1.125
NC28.1,NC71.1,W1xW14R1,0.1,0.3313,6130000,2580000,2850000,3.3129,0.743,0.6492,1.2184,1.0298
NC28.1,NC71.1,W1xW14R2,0.1,0.5249,9900000,6100000,6950000,5.2487,0.5279,0.2714,1.6626,0.9324
NC28.1,NC80.1,W1xW18R1,0.1,0.158,6130000,1900000,6350000,1.58,0.9356,0.611,0.3198,0.3658
NC28.1,NC80.1,W1xW18R2,0.1,0.2274,9900000,7250000,.,2.2741,0.8584,.,.,.
NC28.1,NC99.1,W1xW23R1,0.1,0.1346,6130000,8450000,7300000,1.3456,0.9616,0.6241,1.2038,1.1258
NC28.1,NC99.1,W1xW23R2,0.1,0.2152,6130000,8450000,7100000,2.1523,0.872,0.4011,1.3649,1.1575
