Strain i,Strain j,replicate,p(i),p(i)',Ti(c),Tj(c),TG(ij),r(i),r(j),I(i),I(j),IG(ij)
NC105.1,NC34.2,W24xW3R11,0.5,0.534,9470000,6870000,9980000,1.068,0.932,0.8885,0.7386,0.8186
NC105.1,NC34.2,W24xW3R12,0.5,0.504,10000000,6910000,11000000,1.008,0.992,0.9019,0.6332,0.7686
NC105.1,NC34.2,W24xW3R13,0.5,0.516,9300000,6320000,9700000,1.032,0.968,0.929,0.6731,0.8052
NC105.1,NC34.2,W24xW3R14,0.5,0.5083,9780000,5950000,8950000,1.0166,0.9834,1.0749,0.676,0.8788
NC105.1,NC34.2,W24xW3R15,0.5,0.5091,9890000,5050000,8250000,1.0182,0.9818,1.1774,0.6235,0.9055
NC105.1,NC34.2,W24xW3R2,0.5,0.5128,10833333,5116667,10100000,1.0256,0.9744,1.0458,0.5199,0.7896
NC105.1,NC34.2,W24xW3R3,0.5,0.5486,8843750,6792857,11300000,1.0972,0.9028,0.7133,0.6658,0.6919
NC105.1,NC34.2,W24xW3R4,0.5,0.5381,8843750,6792857,11050000,1.0761,0.9239,0.7437,0.6654,0.7075
NC105.1,NC34.2,W24xW3R5,0.5,0.4995,9516667,6700000,9500000,0.999,1.001,1.0028,0.7046,0.8535
NC105.1,NC34.2,W24xW3R6,0.5,0.4888,9516667,6700000,8450000,0.9776,1.0224,1.1521,0.7755,0.9596
NC105.1,NC34.2,W24xW3R7,0.5,0.4697,10450000,6100000,11900000,0.9394,1.0606,0.9348,0.4833,0.6954
NC105.1,NC34.2,W24xW3R8,0.5,0.5405,9400000,3475000,9100000,1.081,0.919,0.9556,0.4155,0.7074
NC105.1,NC34.2,W24xW3R9,0.5,0.511,10100000,6490000,10700000,1.022,0.978,0.9236,0.6202,0.7752
NC105.1,NC52.3,W24xW6R1,0.5,0.519,8900000,8740000,7850000,1.038,0.962,1.0923,1.1574,1.1236
NC105.1,NC52.3,W24xW6R10,0.5,0.5229,9000000,7550000,7400000,1.0458,0.9542,1.1629,1.0693,1.1182
NC105.1,NC52.3,W24xW6R2,0.5,0.5113,8900000,8740000,10750000,1.0225,0.9775,0.8097,0.8318,0.8205
NC105.1,NC52.3,W24xW6R3,0.5,0.567,8580000,8730000,7750000,1.134,0.866,0.9763,1.3008,1.1168
NC105.1,NC52.3,W24xW6R4,0.5,0.5674,8580000,8730000,9500000,1.1348,0.8652,0.7959,1.0621,0.9111
NC105.1,NC52.3,W24xW6R5,0.5,0.5358,9520000,7740000,9250000,1.0716,0.9284,0.9604,0.9013,0.933
NC105.1,NC52.3,W24xW6R6,0.5,0.5338,9520000,7740000,8550000,1.0676,0.9324,1.0429,0.9709,1.0094
NC105.1,NC52.3,W24xW6R7,0.5,0.5747,8950000,8990000,10850000,1.1495,0.8505,0.7176,0.9742,0.8267
NC105.1,NC52.3,W24xW6R8,0.5,0.5025,8400000,8360000,8400000,1.0051,0.9949,0.9949,1.0003,0.9976
NC105.1,NC52.3,W24xW6R9,0.5,0.4566,8130000,8120000,8050000,0.9131,1.0869,1.106,0.9281,1.0093
NC105.1,NC60.1,W24xW9R1,0.5,0.5485,8950000,11000000,10800000,1.097,0.903,0.7554,1.1279,0.9236
NC105.1,NC60.1,W24xW9R2,0.5,0.5547,9400000,9480000,11500000,1.1093,0.8907,0.7368,0.9255,0.8209
NC34.2,NC69.1,W3xW13R1,0.5,0.7169,7410000,7390000,8900000,1.4338,0.5662,0.5807,1.4666,0.8315
NC34.2,NC69.1,W3xW13R2,0.5,0.6907,7410000,7390000,10300000,1.3813,0.6187,0.5208,1.1597,0.7184
NC34.2,NC71.1,W3xW14R1,0.5,0.7645,5120000,2880000,7900000,1.5289,0.4711,0.4239,0.7739,0.5063
NC34.2,NC71.1,W3xW14R2,0.5,0.7744,5120000,2880000,5800000,1.5487,0.4513,0.57,1.1003,0.6897
NC34.2,NC71.1,W3xW14R3,0.5,0.7031,6790000,3720000,6200000,1.4061,0.5939,0.7789,1.0103,0.8476
NC34.2,NC71.1,W3xW14R4,0.5,0.7406,6790000,3720000,7050000,1.4812,0.5188,0.6502,1.017,0.7454
NC34.2,NC80.1,W3xW18R1,0.5,0.5082,6790000,6830000,6500000,1.0163,0.9837,1.0278,1.0682,1.0477
NC34.2,NC80.1,W3xW18R2,0.5,0.4874,6790000,6830000,8700000,0.9748,1.0252,0.8006,0.7658,0.7828
NC52.3,NC69.1,W6xW13R1,0.5,0.6968,8360000,9570000,10000000,1.3937,0.6063,0.5998,1.5784,0.8965
NC52.3,NC69.1,W6xW13R2,0.5,0.6778,8120000,6580000,8400000,1.3556,0.6444,0.7131,1.2155,0.875
NC52.3,NC69.1,W6xW13R3,0.5,0.7521,7550000,5600000,7100000,1.5042,0.4958,0.707,1.5907,0.9261
NC52.3,NC71.1,W6xW14R1,0.5,0.8566,8360000,5100000,6350000,1.7131,0.2869,0.7685,2.7996,1.0598
NC52.3,NC71.1,W6xW14R2,0.5,0.7545,8120000,4000000,7000000,1.5091,0.4909,0.7687,1.164,0.8657
NC52.3,NC71.1,W6xW14R3,0.5,0.701,7550000,3800000,6850000,1.4021,0.5979,0.7861,0.9278,0.8285
NC52.3,NC80.1,W6xW18R1,0.5,0.4975,8360000,6280000,7400000,0.9949,1.0051,1.1355,0.8444,0.9892
NC52.3,NC80.1,W6xW18R2,0.5,0.4677,8120000,6580000,7800000,0.9354,1.0646,1.113,0.7924,0.9423
NC52.3,NC80.1,W6xW18R3,0.5,0.5604,7550000,4850000,7250000,1.1208,0.8792,0.9291,0.7609,0.8552
NC52.3,NC99.1,W6xW23R1,0.5,0.5015,8740000,8540000,9150000,1.0031,0.9969,0.9523,0.9362,0.9443
NC52.3,NC99.1,W6xW23R2,0.5,0.4964,8740000,8540000,.,0.9928,1.0072,.,.,.
NC52.3,NC99.1,W6xW23R3,0.5,0.4002,8730000,7900000,10000000,0.8004,1.1996,1.0907,0.6586,0.8315
NC52.3,NC99.1,W6xW23R4,0.5,0.4198,8730000,7900000,7300000,0.8395,1.1605,1.4245,0.9325,1.139
NC52.3,NC99.1,W6xW23R5,0.5,0.4571,7740000,3110000,6650000,0.9142,1.0858,1.2731,0.4307,0.8158
NC52.3,NC99.1,W6xW23R6,0.5,0.4777,7740000,3110000,6700000,0.9554,1.0446,1.2091,0.4444,0.8097
NC52.3,NC99.1,W6xW23R7,0.5,0.5374,8120000,6650000,7000000,1.0747,0.9253,1.0793,1.0267,1.055
NC52.3,NC99.1,W6xW23R8,0.5,0.5427,7550000,6530000,7600000,1.0854,0.9146,0.9152,0.9395,0.9263
NC52.3,NC34.2,W6xW3R1,0.5,0.4975,8360000,5670000,5850000,0.9949,1.0051,1.4364,0.9643,1.1991
NC52.3,NC34.2,W6xW3R2,0.5,0.497,8120000,4250000,7500000,0.9939,1.0061,1.0893,0.5633,0.8247
NC52.3,NC34.2,W6xW3R3,0.5,0.4427,7550000,4480000,6250000,0.8854,1.1146,1.3643,0.6431,0.9624
NC52.3,NC60.1,W6xW9R1,0.5,0.3998,8360000,11100000,9100000,0.7996,1.2004,1.1489,1.0161,1.0692
NC52.3,NC60.1,W6xW9R2,0.5,0.4434,8120000,6700000,8600000,0.8869,1.1131,1.0646,0.6999,0.8616
NC52.3,NC60.1,W6xW9R3,0.5,0.4479,7550000,7100000,6800000,0.8958,1.1042,1.2394,0.9456,1.0772
NC60.1,NC71.1,W9xW14R1,0.5,0.8054,7570000,2880000,8650000,1.6109,0.3891,0.5433,0.8557,0.604
NC60.1,NC71.1,W9xW14R2,0.5,0.7764,7570000,2880000,8700000,1.5528,0.4472,0.5603,0.7403,0.6006
NC63.2,NC69.1,W11xW13R1,0.75,0.9141,3940000,6930000,5150000,1.2188,0.3436,0.6277,3.9167,0.9102
NC63.2,NC69.1,W11xW13R2,0.75,0.9419,8550000,7680000,8100000,1.2559,0.2324,0.8405,4.0804,1.0287
NC63.2,NC69.1,W11xW13R3,0.75,0.9621,4210000,4750000,10000000,1.2827,0.1518,0.3282,3.1292,0.4345
NC63.2,NC71.1,W11xW14R1,0.75,0.9336,8550000,5230000,8100000,1.2448,0.2656,0.848,2.4314,0.9531
NC63.2,NC71.1,W11xW14R2,0.75,0.9641,4210000,3830000,10000000,1.2855,0.1436,0.3275,2.6673,0.4115
NC63.2,NC80.1,W11xW18R1,0.75,0.7386,8550000,6600000,8700000,0.9848,1.0456,0.9979,0.7255,0.9267
NC63.2,NC80.1,W11xW18R2,0.75,0.7128,4210000,8050000,5650000,0.9504,1.1487,0.784,1.2403,0.915
NC63.2,NC99.1,W11xW23R1,0.75,0.7495,3940000,5680000,6100000,0.9993,1.002,0.6463,0.9292,0.7172
NC63.2,NC99.1,W11xW23R2,0.75,0.7894,8550000,7180000,8450000,1.0526,0.8423,0.9613,1.0088,0.9713
NC63.2,NC99.1,W11xW23R3,0.75,0.7856,4210000,8650000,9200000,1.0475,0.8574,0.4368,1.0965,0.5783
NC63.2,NC34.2,W11xW3R1,0.75,0.7635,8550000,3380000,9000000,1.018,0.9461,0.9332,0.397,0.8064
NC63.2,NC34.2,W11xW3R2,0.75,0.72,4210000,4400000,5000000,0.96,1.12,0.8771,0.7857,0.8515
NC63.2,NC52.3,W11xW6R1,0.75,0.8268,8550000,7320000,7350000,1.1024,0.6929,1.0553,1.4372,1.1214
NC63.2,NC52.3,W11xW6R2,0.75,0.7414,6480000,8120000,8100000,0.9886,1.0343,0.8093,0.9692,0.8506
NC63.2,NC52.3,W11xW6R3,0.75,0.8052,7000000,7550000,.,1.0736,0.7792,.,.,.
NC63.2,NC52.3,W11xW6R4,0.75,0.7569,4210000,8750000,6250000,1.0092,0.9723,0.6674,1.4399,0.8552
NC63.2,NC60.1,W11xW9R1,0.75,0.7541,8550000,7390000,10600000,1.0055,0.9834,0.8022,0.7089,0.7792
NC63.2,NC60.1,W11xW9R2,0.75,0.7651,4210000,9530000,6550000,1.0202,0.9395,0.63,1.5487,0.8458
NC28.1,NC63.2,W1xW11R1,0.75,0.723,9290000,8125000,9000000,0.9707,1.088,1.0708,0.8148,0.9999
NC28.1,NC63.2,W1xW11R10,0.75,0.7023,8550000,8551000,11600000,0.9364,1.1909,0.7872,0.619,0.7371
NC28.1,NC63.2,W1xW11R11,0.75,0.761,9600000,4210000,8350000,1.0147,0.9559,1.133,0.5275,0.9883
NC28.1,NC63.2,W1xW11R12,0.75,0.751,6160000,7040000,6980000,1.0013,0.996,0.8813,1.0126,0.914
NC28.1,NC63.2,W1xW11R13,0.75,0.743,6890000,7580000,7680000,0.9907,1.028,0.9056,0.9601,0.9196
NC28.1,NC63.2,W1xW11R14,0.75,0.753,5540000,5920000,6980000,1.004,0.988,0.7905,0.8584,0.8073
NC28.1,NC63.2,W1xW11R15,0.75,0.754,6010000,6500000,6990000,1.0053,0.984,0.8552,0.945,0.8773
NC28.1,NC63.2,W1xW11R16,0.75,0.745,7240000,7660000,8233333,0.9933,1.02,0.8853,0.9121,0.8921
NC28.1,NC63.2,W1xW11R17,0.75,0.759,6650000,7500000,7190000,1.012,0.964,0.9139,1.0821,0.9545
NC28.1,NC63.2,W1xW11R18,0.75,0.743,7910000,8430000,9190000,0.9907,1.028,0.8688,0.8923,0.8749
NC28.1,NC63.2,W1xW11R2,0.75,0.743,9290000,8125000,9500000,0.9859,1.0422,0.9871,0.832,0.9472
NC28.1,NC63.2,W1xW11R3,0.75,0.72,9680000,8941667,10050000,0.9676,1.0972,1.0033,0.7944,0.9448
NC28.1,NC63.2,W1xW11R4,0.75,0.719,9680000,8941667,10500000,0.9574,1.1278,0.9617,0.7576,0.9043
NC28.1,NC63.2,W1xW11R5,0.75,0.755,5320000,2980000,4250000,1.019,0.9431,1.2435,0.7155,1.1141
NC28.1,NC63.2,W1xW11R6,0.75,0.768,5320000,2980000,5500000,1.0253,0.924,0.9446,0.5839,0.8609
NC28.1,NC63.2,W1xW11R7,0.75,0.7013,6125000,1150000,4500000,0.9351,1.1947,1.4556,0.2139,1.0847
NC28.1,NC63.2,W1xW11R8,0.75,0.801,9900000,4925000,9800000,1.068,0.7959,0.9459,0.6314,0.8833
NC28.1,NC63.2,W1xW11R9,0.75,0.82,12200000,3943750,12400000,1.0934,0.7198,0.8998,0.4418,0.8174
NC28.1,NC69.1,W1xW13R1,0.75,0.948,6130000,8300000,10600000,1.264,0.208,0.4575,3.7645,0.6295
NC28.1,NC69.1,W1xW13R2,0.75,0.9421,9900000,6900000,10300000,1.2562,0.2315,0.7652,2.8941,0.8883
NC28.1,NC71.1,W1xW14R1,0.75,0.9266,6130000,2580000,8150000,1.2355,0.2936,0.6088,1.0783,0.6433
NC28.1,NC71.1,W1xW14R2,0.75,0.931,9900000,6100000,13000000,1.2413,0.2761,0.6135,1.6992,0.6885
NC28.1,NC80.1,W1xW18R1,0.75,0.7849,6130000,1900000,6400000,1.0466,0.8603,0.9152,0.3451,0.7926
NC28.1,NC80.1,W1xW18R2,0.75,0.8162,9900000,7250000,9300000,1.0883,0.735,0.9781,1.0606,0.9933
NC28.1,NC99.1,W1xW23R1,0.75,0.7339,6130000,8450000,8200000,0.9786,1.0642,0.7639,0.9683,0.8183
NC28.1,NC99.1,W1xW23R2,0.75,0.7766,6130000,8450000,10700000,1.0355,0.8934,0.5532,0.8839,0.6271
NC28.1,NC34.2,W1xW3R1,0.75,0.7472,6130000,9080000,8000000,0.9963,1.0112,0.7691,1.1224,0.8584
NC28.1,NC34.2,W1xW3R2,0.75,0.7178,9900000,4170000,10300000,0.957,1.1289,1.0043,0.3586,0.8221
NC28.1,NC52.3,W1xW6R1,0.75,0.8451,6130000,6550000,8500000,1.1267,0.6198,0.6401,1.2433,0.7335
NC28.1,NC52.3,W1xW6R2,0.75,0.7878,9900000,7330000,9250000,1.0504,0.8487,1.0189,0.9337,1.0008
NC28.1,NC52.3,W1xW6R3,0.75,0.7697,8230000,8120000,13000000,1.0263,0.9212,0.6169,0.678,0.631
NC28.1,NC52.3,W1xW6R4,0.75,0.8365,7480000,7550000,5900000,1.1153,0.6542,1.1368,1.9562,1.2708
NC28.1,NC60.1,W1xW9R1,0.75,0.6728,6130000,7000000,8000000,0.897,1.3089,0.8542,0.6685,0.7934
NC28.1,NC60.1,W1xW9R2,0.75,0.6975,9900000,9700000,10300000,0.9299,1.2102,1.0336,0.7782,0.9563
NC28.1,NC60.1,W1xW9R3,0.75,0.7032,7240000,8690000,8900000,0.9375,1.1874,0.8677,0.8223,0.8542
NC28.1,NC60.1,W1xW9R4,0.75,0.7579,7240000,8690000,8600000,1.0105,0.9686,0.8331,1.0433,0.884
NC105.1,NC63.2,W24xW11R1,0.75,0.7838,8950000,5680000,10750000,1.0451,0.8646,0.7966,0.6111,0.7565
NC105.1,NC63.2,W24xW11R2,0.75,0.7976,9400000,4450000,7850000,1.0634,0.8097,1.126,0.7001,1.0398
NC105.1,NC63.2,W24xW11R3,0.75,0.7106,8580000,3940000,7250000,0.9475,1.1575,1.249,0.4695,1.0234
NC105.1,NC63.2,W24xW11R4,0.75,0.668,8780000,8550000,11000000,0.8907,1.3278,0.8961,0.5854,0.793
NC105.1,NC63.2,W24xW11R5,0.75,0.7785,11500000,4210000,10600000,1.0379,0.8862,1.0452,0.4482,0.913
NC105.1,NC69.1,W24xW13R1,0.75,0.9295,12200000,7390000,11850000,1.2393,0.282,0.8307,2.2117,0.9281
NC105.1,NC69.1,W24xW13R2,0.75,0.9239,12200000,7390000,12100000,1.2319,0.3043,0.8185,2.0073,0.9089
NC105.1,NC69.1,W24xW13R3,0.75,0.9515,8950000,7980000,11500000,1.2687,0.1939,0.6134,3.578,0.7572
NC105.1,NC69.1,W24xW13R4,0.75,0.9403,9400000,3450000,9150000,1.2537,0.2389,0.8194,1.5785,0.8648
NC105.1,NC71.1,W24xW14R1,0.75,0.9322,10800000,2880000,10150000,1.2429,0.2713,0.8561,1.046,0.869
NC105.1,NC71.1,W24xW14R2,0.75,0.9344,10800000,2880000,10600000,1.2458,0.2626,0.8178,1.0348,0.8321
NC105.1,NC71.1,W24xW14R3,0.75,0.8915,8840000,3720000,9600000,1.1886,0.4342,0.7747,0.8925,0.7875
NC105.1,NC71.1,W24xW14R4,0.75,0.8932,8840000,3720000,8400000,1.1909,0.4273,0.8837,1.0365,0.9
NC105.1,NC71.1,W24xW14R5,0.75,0.9434,8950000,2950000,13200000,1.2579,0.2263,0.539,0.9877,0.5644
NC105.1,NC71.1,W24xW14R6,0.75,0.8968,9400000,1650000,9300000,1.1957,0.413,0.8453,0.4296,0.8024
NC105.1,NC80.1,W24xW18R1,0.75,0.7253,8950000,7530000,8500000,0.967,1.099,1.0889,0.8061,1.0112
NC105.1,NC80.1,W24xW18R2,0.75,0.8401,9400000,4130000,10400000,1.1201,0.6397,0.8069,0.6208,0.7772
NC105.1,NC28.1,W24xW1R1,0.75,0.7013,10600000,6130000,9300000,0.9351,1.1947,1.2189,0.5517,1.0196
NC105.1,NC28.1,W24xW1R2,0.75,0.7561,9400000,9280000,8450000,1.0081,0.9757,1.1035,1.1256,1.1089
NC105.1,NC28.1,W24xW1R3,0.75,0.6964,10300000,9900000,13550000,0.9286,1.2142,0.8186,0.6017,0.7528
NC105.1,NC99.1,W24xW23R1,0.75,0.8081,8950000,8600000,13500000,1.0774,0.7677,0.6153,0.8298,0.6565
NC105.1,NC99.1,W24xW23R2,0.75,0.8012,11400000,6890000,11500000,1.0683,0.7951,0.9279,0.7536,0.8933
NC105.1,NC99.1,W24xW23R3,0.75,0.8045,11400000,6890000,11700000,1.0727,0.7819,0.9083,0.7532,0.878
NC105.1,NC99.1,W24xW23R4,0.75,0.7407,11400000,6890000,9350000,0.9877,1.037,1.2345,0.7106,1.0987
NC105.1,NC99.1,W24xW23R5,0.75,0.7901,11400000,6890000,11800000,1.0535,0.8396,0.9171,0.6955,0.8706
NC105.1,NC99.1,W24xW23R6,0.75,0.8188,11400000,6890000,13150000,1.0918,0.7247,0.7941,0.723,0.7812
NC105.1,NC99.1,W24xW23R7,0.75,0.8061,11400000,6890000,.,1.0747,0.7758,.,.,.
NC105.1,NC34.2,W24xW3R1,0.75,0.7533,10833333,5116667,12700000,1.0044,0.9869,0.8493,0.4082,0.7405
NC105.1,NC34.2,W24xW3R10,0.75,0.738,9940000,6310000,10800000,0.984,1.048,0.9353,0.5575,0.8363
NC105.1,NC34.2,W24xW3R11,0.75,0.749,9470000,6870000,10600000,0.9987,1.004,0.8946,0.6455,0.8321
NC105.1,NC34.2,W24xW3R12,0.75,0.751,10000000,6910000,10900000,1.0013,0.996,0.9162,0.6365,0.8466
NC105.1,NC34.2,W24xW3R13,0.75,0.734,9300000,6320000,9970000,0.9787,1.064,0.9531,0.5958,0.8581
NC105.1,NC34.2,W24xW3R14,0.75,0.7358,9780000,5950000,9650000,0.981,1.0569,1.0331,0.5834,0.9142
NC105.1,NC34.2,W24xW3R15,0.75,0.712,9890000,5050000,8925000,0.9493,1.152,1.1673,0.4911,0.9725
NC105.1,NC34.2,W24xW3R2,0.75,0.7415,10833333,5116667,12350000,0.9887,1.0338,0.8872,0.4007,0.7615
NC105.1,NC34.2,W24xW3R3,0.75,0.7379,8843750,6792857,11000000,0.9838,1.0486,0.8172,0.5889,0.7574
NC105.1,NC34.2,W24xW3R4,0.75,0.7431,8843750,6792857,11400000,0.9909,1.0274,0.7829,0.58,0.7308
NC105.1,NC34.2,W24xW3R5,0.75,0.6894,9516667,6700000,9550000,0.9193,1.2422,1.084,0.5648,0.9228
NC105.1,NC34.2,W24xW3R6,0.75,0.7316,9516667,6700000,10000000,0.9755,1.0735,0.9756,0.6241,0.8813
NC105.1,NC34.2,W24xW3R7,0.75,0.7111,10450000,6100000,11750000,0.9481,1.1556,0.938,0.4493,0.7968
NC105.1,NC34.2,W24xW3R8,0.75,0.7146,9400000,3475000,9250000,0.9528,1.1417,1.0666,0.329,0.8561
NC105.1,NC34.2,W24xW3R9,0.75,0.754,10100000,6490000,10800000,1.0053,0.984,0.9302,0.6107,0.8516
NC105.1,NC52.3,W24xW6R1,0.75,0.766,8900000,8740000,7500000,1.0213,0.936,1.1619,1.245,1.1813
NC105.1,NC52.3,W24xW6R10,0.75,0.7625,9000000,7550000,6750000,1.0167,0.95,1.3115,1.1774,1.2796
NC105.1,NC52.3,W24xW6R2,0.75,0.7797,8900000,8740000,10100000,1.0396,0.8811,0.8476,0.9821,0.8772
NC105.1,NC52.3,W24xW6R3,0.75,0.782,8580000,8730000,10600000,1.0427,0.872,0.7763,0.9445,0.813
NC105.1,NC52.3,W24xW6R4,0.75,0.7984,8580000,8730000,9000000,1.0645,0.8065,0.8956,1.2028,0.9575
NC105.1,NC52.3,W24xW6R5,0.75,0.78,9520000,7740000,9500000,1.04,0.8799,0.9635,0.9259,0.9553
NC105.1,NC52.3,W24xW6R6,0.75,0.7659,9520000,7740000,9900000,1.0212,0.9364,0.9417,0.8349,0.9167
NC105.1,NC52.3,W24xW6R7,0.75,0.802,8950000,8990000,12250000,1.0694,0.7919,0.6832,0.9267,0.7314
NC105.1,NC52.3,W24xW6R8,0.75,0.763,8400000,8360000,7750000,1.0173,0.9481,1.0654,1.1377,1.0826
NC105.1,NC52.3,W24xW6R9,0.75,0.7182,8130000,8120000,8750000,0.9576,1.1273,0.9703,0.8232,0.9289
NC105.1,NC60.1,W24xW9R1,0.75,0.7293,8950000,11000000,9550000,0.9724,1.0828,0.9638,1.0637,0.9908
NC105.1,NC60.1,W24xW9R2,0.75,0.7794,9400000,9480000,.,1.0391,0.8826,.,.,.
NC34.2,NC69.1,W3xW13R1,0.75,0.8954,7410000,7390000,8550000,1.1938,0.4185,0.7259,2.0655,0.8661
NC34.2,NC69.1,W3xW13R2,0.75,0.8945,7410000,7390000,10200000,1.1927,0.4219,0.6091,1.7172,0.726
NC34.2,NC71.1,W3xW14R1,0.75,0.9076,5120000,2880000,6000000,1.2102,0.3695,0.7051,1.2989,0.76
NC34.2,NC71.1,W3xW14R2,0.75,0.9159,5120000,2880000,6300000,1.2212,0.3364,0.6655,1.3589,0.7238
NC34.2,NC71.1,W3xW14R3,0.75,0.8622,6790000,3720000,7550000,1.1497,0.551,0.7823,0.8942,0.7977
NC34.2,NC71.1,W3xW14R4,0.75,0.8891,6790000,3720000,7600000,1.1855,0.4435,0.7536,1.1036,0.7924
NC34.2,NC80.1,W3xW18R1,0.75,0.7143,6790000,6830000,6450000,0.9524,1.1429,1.1053,0.9266,1.0543
NC34.2,NC80.1,W3xW18R2,0.75,0.712,6790000,6830000,6750000,0.9493,1.1521,1.0596,0.8783,1.0074
NC52.3,NC69.1,W6xW13R1,0.75,0.8026,8360000,9570000,7800000,1.0702,0.7894,1.0015,1.5542,1.1106
NC52.3,NC69.1,W6xW13R2,0.75,0.8778,8120000,6580000,9100000,1.1704,0.4889,0.7624,1.479,0.85
NC52.3,NC69.1,W6xW13R3,0.75,0.875,7550000,5600000,8400000,1.1667,0.5,0.7704,1.3333,0.8408
NC52.3,NC71.1,W6xW14R1,0.75,0.94,8360000,5100000,6950000,1.2533,0.2401,0.9598,3.0565,1.0856
NC52.3,NC71.1,W6xW14R2,0.75,0.9232,8120000,4000000,7900000,1.231,0.3071,0.835,1.6489,0.8975
NC52.3,NC71.1,W6xW14R3,0.75,0.8781,7550000,3800000,8450000,1.1708,0.4875,0.7631,0.9225,0.7825
NC52.3,NC80.1,W6xW18R1,0.75,0.7243,8360000,6280000,8100000,0.9658,1.1027,1.0687,0.7031,0.9679
NC52.3,NC80.1,W6xW18R2,0.75,0.7394,8120000,6580000,8250000,0.9859,1.0424,0.9984,0.7651,0.9376
NC52.3,NC80.1,W6xW18R3,0.75,0.8188,7550000,4850000,8100000,1.0917,0.725,0.8538,0.8259,0.8488
NC52.3,NC99.1,W6xW23R1,0.75,0.7185,8740000,8540000,9450000,0.958,1.1259,0.9654,0.8027,0.9196
NC52.3,NC99.1,W6xW23R2,0.75,0.7085,8740000,8540000,9300000,0.9447,1.1658,0.9948,0.7877,0.9344
NC52.3,NC99.1,W6xW23R3,0.75,0.6342,8730000,7900000,9100000,0.8457,1.463,1.1344,0.5934,0.9365
NC52.3,NC99.1,W6xW23R4,0.75,0.6574,8730000,7900000,10100000,0.8765,1.3704,0.9861,0.5708,0.8438
NC52.3,NC99.1,W6xW23R5,0.75,0.7245,7740000,3110000,7150000,0.966,1.1019,1.1206,0.3947,0.9206
NC52.3,NC99.1,W6xW23R6,0.75,0.715,7740000,3110000,8450000,0.9534,1.1399,0.9608,0.3229,0.779
NC52.3,NC99.1,W6xW23R7,0.75,0.7899,8120000,6650000,8400000,1.0532,0.8404,0.9178,0.942,0.9229
NC52.3,NC99.1,W6xW23R8,0.75,0.7823,7550000,6530000,6650000,1.0431,0.8708,1.0885,1.1276,1.097
NC52.3,NC34.2,W6xW3R1,0.75,0.7243,8360000,5670000,6700000,0.9658,1.1027,1.292,0.7674,1.1474
NC52.3,NC34.2,W6xW3R2,0.75,0.7333,8120000,4250000,7400000,0.9778,1.0667,1.1222,0.5384,0.9666
NC52.3,NC34.2,W6xW3R3,0.75,0.7427,7550000,4480000,8300000,0.9903,1.0292,0.9186,0.5245,0.8172
NC52.3,NC60.1,W6xW9R1,0.75,0.6358,8360000,11100000,8750000,0.8477,1.4568,1.127,0.8708,1.0337
NC52.3,NC60.1,W6xW9R2,0.75,0.6949,8120000,6700000,7000000,0.9266,1.2202,1.2519,0.7844,1.1093
NC52.3,NC60.1,W6xW9R3,0.75,0.6906,7550000,7100000,8150000,0.9208,1.2375,1.006,0.704,0.9126
NC60.1,NC71.1,W9xW14R1,0.75,0.9365,7570000,2880000,7450000,1.2487,0.254,0.8138,1.5218,0.8587
NC60.1,NC71.1,W9xW14R2,0.75,0.9303,7570000,2880000,10300000,1.2403,0.279,0.5925,1.0023,0.6211
NC63.2,NC69.1,W11xW13R1,0.9,0.9581,3940000,6930000,5400000,1.0645,0.4192,0.6854,3.0612,0.785
NC63.2,NC69.1,W11xW13R2,0.9,0.9813,8550000,7680000,8650000,1.0904,0.1867,0.9065,4.755,0.9784
NC63.2,NC69.1,W11xW13R3,0.9,0.9836,4210000,4750000,5800000,1.0929,0.1641,0.6642,4.9906,0.7352
NC63.2,NC71.1,W11xW14R1,0.9,0.9564,8550000,5230000,8650000,1.0627,0.4357,0.9301,1.3878,0.9501
NC63.2,NC71.1,W11xW14R2,0.9,0.9867,4210000,3830000,5800000,1.0963,0.1333,0.6621,4.9526,0.7193
NC63.2,NC80.1,W11xW18R1,0.9,0.8797,8550000,6600000,10200000,0.9774,1.2033,0.8576,0.5377,0.8191
NC63.2,NC80.1,W11xW18R2,0.9,0.8738,4210000,8050000,5500000,0.9709,1.2615,0.7884,1.1602,0.8353
NC63.2,NC99.1,W11xW23R1,0.9,0.8896,3940000,5680000,4950000,0.9884,1.1043,0.8053,1.0391,0.8311
NC63.2,NC99.1,W11xW23R2,0.9,0.8983,8550000,7180000,7750000,0.9982,1.0166,1.1053,0.9113,1.0855
NC63.2,NC99.1,W11xW23R3,0.9,0.8933,4210000,8650000,6300000,0.9926,1.0667,0.6732,1.2872,0.7387
NC63.2,NC34.2,W11xW3R1,0.9,0.9025,8550000,3380000,10000000,1.0028,0.9751,0.8526,0.3466,0.8033
NC63.2,NC34.2,W11xW3R2,0.9,0.8892,4210000,4400000,6150000,0.988,1.1077,0.6928,0.6459,0.6876
NC63.2,NC52.3,W11xW6R1,0.9,0.9284,8550000,7320000,9000000,1.0316,0.7158,0.9209,1.1363,0.9363
NC63.2,NC52.3,W11xW6R2,0.9,0.9202,6480000,8120000,8400000,1.0224,0.798,0.7545,1.2114,0.791
NC63.2,NC52.3,W11xW6R3,0.9,0.9427,7000000,7550000,7050000,1.0475,0.5729,0.9479,1.8692,1.0007
